source_file,run_directory,method,P0,seed,N,dt,quantity,status,initial_raw_value,endpoint_drift,maximum_absolute_drift,rms_drift,time_of_max_abs_drift,endpoint_relative_drift,maximum_absolute_relative_drift,behavior,renormalization_applied_to_displayed_lw_observables,normalization_note
results/P0_100/pbme.npz,results/P0_100,pbme,100.0,12345,1000,0.5,normalization,EXTRACTED,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,constant within tolerance,True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
results/P0_100/pbme.npz,results/P0_100,pbme,100.0,12345,1000,0.5,trace,EXTRACTED,1.0000000000000004,1.1834977442504169e-13,1.1834977442504169e-13,6.17825890307699e-14,600.0,1.1834977442504164e-13,1.1834977442504164e-13,constant within tolerance,True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
results/P0_100/pbme.npz,results/P0_100,pbme,100.0,12345,1000,0.5,energy,EXTRACTED,2.5009730060372077,-2.235100993175365e-12,2.920383077587019e-07,7.570865616852146e-08,305.5,-8.936925699637531e-13,1.1676987598576149e-07,oscillatory/nonmonotonic (11 derivative sign changes),True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
results/P0_100/midpoint.npz,results/P0_100,midpoint,100.0,12345,1000,0.5,normalization,EXTRACTED,1.0000000000000004,-0.39397587840852144,0.3941034715345453,0.24177870190388204,425.5,-0.3939758784085213,0.3941034715345451,oscillatory/nonmonotonic (17 derivative sign changes),True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
results/P0_100/midpoint.npz,results/P0_100,midpoint,100.0,12345,1000,0.5,trace,EXTRACTED,1.0000000000000004,-0.39397587840837367,0.39410347153449055,0.24177870190383052,425.5,-0.3939758784083735,0.3941034715344904,oscillatory/nonmonotonic (17 derivative sign changes),True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
results/P0_100/midpoint.npz,results/P0_100,midpoint,100.0,12345,1000,0.5,energy,EXTRACTED,2.5009730060372077,-0.9730388289210854,0.9733495363763331,0.5980359931557274,531.0,-0.3890641068784927,0.38918834150817394,oscillatory/nonmonotonic (17 derivative sign changes),True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
results/P0_20/pbme.npz,results/P0_20,pbme,40.0,12345,1000,0.5,normalization,EXTRACTED,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,constant within tolerance,True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
results/P0_20/pbme.npz,results/P0_20,pbme,40.0,12345,1000,0.5,trace,EXTRACTED,1.0000000000000004,8.211209490127658e-13,8.211209490127658e-13,4.262773772057843e-13,2999.999999999613,8.211209490127654e-13,8.211209490127654e-13,constant within tolerance,True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
results/P0_20/pbme.npz,results/P0_20,pbme,40.0,12345,1000,0.5,energy,EXTRACTED,0.10024538208210043,5.07788255887931e-14,1.0861358659686182e-08,3.228818843004154e-09,1275.1590855525578,5.065452845219894e-13,1.0834772070389026e-07,oscillatory/nonmonotonic (42 derivative sign changes),True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
results/P0_20/midpoint.npz,results/P0_20,midpoint,40.0,12345,1000,0.5,normalization,EXTRACTED,1.0000000000000004,-0.008146892766608183,0.48703559275468544,0.12091880182941772,1622.3191138343796,-0.008146892766608179,0.4870355927546852,oscillatory/nonmonotonic (55 derivative sign changes),True,raw drift is pre-self-normalization cloud estimator; lw_* observables divide by current raw cloud norm
