method,P0,observable,n_independent_seeds,seeds,values,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,maximum_spread,coefficient_of_variation,limitation,source_csv
MIDPOINT,20.0,P0,4,"[11,29,47,73]","[0.9877541611632755,0.8546812248885468,0.9053042961198511,2.501948151957114]",1.3124219585321968,0.7949115493305068,0.3974557746652534,0.04754029693486661,2.577303620129527,"two-sided Student t, df=3",1.6472669270685674,0.6056829087342688,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
MIDPOINT,20.0,P1,4,"[11,29,47,73]","[0.012245838838875261,0.14531877511351252,0.0946957038833055,-1.5019481519497198]",-0.3124219585285066,0.7949115493280454,0.3974557746640227,-1.5773036201219202,0.9524597030649069,"two-sided Student t, df=3",1.6472669270632323,2.544352365858159,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
MIDPOINT,20.0,P_mean,4,"[11,29,47,73]","[19.344145453883446,17.876795332548582,21.318359456242433,38.272874925975806]",24.203043792162568,9.485284470983167,4.742642235491584,9.109839532537281,39.296248051787856,"two-sided Student t, df=3",20.396079593427224,0.3919046113553161,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
MIDPOINT,20.0,P_var,4,"[11,29,47,73]","[-1.11178177154153,76.2465413257476,-94.13265930039734,64.50552215850493]",11.376905603078416,78.1429355611606,39.0714677805803,-112.96594267726248,135.71975388341932,"two-sided Student t, df=3",170.37920062614495,6.868557961843009,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
MIDPOINT,20.0,R_mean,4,"[11,29,47,73]","[15.231976407524874,12.777190705338173,16.732549335471735,12.65080641892298]",14.348130716814442,1.9845568477502107,0.9922784238751053,11.19025791293982,17.506003520689063,"two-sided Student t, df=3",4.081742916548755,0.13831466181336965,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
MIDPOINT,20.0,R_var,4,"[11,29,47,73]","[0.1936517906299855,37.50319291365423,-66.19517931415521,8.228257351105242]",-5.067519314691438,43.79236598306785,21.896182991533927,-74.7509459759267,64.61590734654382,"two-sided Student t, df=3",103.69837222780944,8.641775840125115,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
MIDPOINT,20.0,energy,4,"[11,29,47,73]","[0.09429697924272633,0.0857523450522503,0.11802034096997906,0.207279226567887]",0.12633722295821065,0.05566114146135936,0.02783057073067968,0.03776792596240676,0.21490651995401455,"two-sided Student t, df=3",0.1215268815156367,0.4405759455372131,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
MIDPOINT,20.0,trace,4,"[11,29,47,73]","[1.0000000000021507,1.0000000000020592,1.0000000000031566,1.0000000000073945]",1.0000000000036904,2.519048211657316e-12,1.259524105828658e-12,0.999999999999682,1.0000000000076987,"two-sided Student t, df=3",5.335287767138652e-12,2.5190482116480198e-12,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
MIDPOINT,100.0,P0,4,"[11,29,47,73]","[0.47351772028565303,-0.3729308681671167,-1.4799278282353694,0.5888189926207114]",-0.19763049587403045,0.956374995336569,0.4781874976682845,-1.7194365310615896,1.3241755393135286,"two-sided Student t, df=3",2.068746820856081,4.839207588418752,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
MIDPOINT,100.0,P1,4,"[11,29,47,73]","[0.5264822797147946,1.3729308681674386,2.4799278282356756,0.4111810073796269]",1.197630495874384,0.9563749953365281,0.47818749766826407,-0.32417553931311005,2.719436531061878,"two-sided Student t, df=3",2.068746820856049,0.798555980856419,"four independent seeds provide a small-sample sensitivity interval, not strong uncertainty calibration",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\replication\four_seed_values.csv
